# artefact	command	path	sha256
laboratory design study for the three validation routes	python3 Experimental/run_all_codex.py	NonStationaryMetrics/Experimental/run_all_codex.py	9ec7dad98e12c77dd3fdb96c3a33733e8f448a384dac4960fa9a0184fecbee68
Prop. 3.1 (local classification at r_e), shape	wolframscript -file verify_cusp_corner.wls	NonStationaryMetrics/paper2/verification/verify_cusp_corner.wls	5503d6a6ea56b2bce9e23f714d8edb2260aef24b2e8c0755b8459ac74d20992d
Prop. 3.1 (local classification at r_e), dynamics	wolframscript -file verify_marginal_hamilton.wls	NonStationaryMetrics/paper2/verification/verify_marginal_hamilton.wls	47344e49f7f6aa7e5af9b55b26bd123d3fd4dd5c30fb649bfee14f7191b5433d
Prop. 3.2 (exterior retrograde separatrix), eq. (exterior-sep)	wolframscript -file verify_exterior_separatrix.wls	NonStationaryMetrics/paper2/verification/verify_exterior_separatrix.wls	daeda4c0969343ec479191357fb78386377569012f5d530b1d18fee704a97681
Eqs. (fibre-accel), (tension-residual): Lorentzian submersion tension	python3 verify_tension_sympy.py	NonStationaryMetrics/paper2/verification/verify_tension_sympy.py	48e41f9e420d526073e04e7c818da9b14af1f12dd8de51675d140bf54c5dd598
Eq. (randers): arrival cost vs Jacobi-Maupertuis; convexity and its boundary; gauge dependence of b and invariance of db	python3 verify_randers_convexity.py	NonStationaryMetrics/paper2/verification/verify_randers_convexity.py	f1ef4fedb6f719b8ba6af8980003c518183fbf14300bf189609efa64edeb584d
Eq. (optical-gauss): static certificate K < 0 for Ehat^2 >= 3/2, r >= 2M	python3 verify_geodesic_separation.py	NonStationaryMetrics/paper2/verification/verify_geodesic_separation.py	0a7fa4288c7e5894baa3c9cdc918862b8665500f0b6f848bbce423941e64123d
Rotating separation: extremals at prescribed geodesic curvature and the magnetic Jacobi equation, with direct stationarity of the arrival cost	python3 verify_rotating_separation.py	NonStationaryMetrics/paper2/verification/verify_rotating_separation.py	b8cdfa569aed169ecc2334bbd8de6b34b3187b96142303a8f63a746c5c3b52a1
Eq. (sep-phi): marked-point dictionary of the rotating tau-separatrix, and the symbolic identity against its branch differential	python3 verify_tau_separatrix_dictionary.py	NonStationaryMetrics/paper2/verification/verify_tau_separatrix_dictionary.py	603c96cdf04c1196263dc6796939a3516453a0f73b57cc5653a7ead639a30b23
Prop. (prograde-asym): sign of B' on the exterior, and the prograde/retrograde asymmetry of W - K proved rather than sampled	python3 verify_prograde_asymmetry.py	NonStationaryMetrics/paper2/verification/verify_prograde_asymmetry.py	30da61430bd5094b07921535554f0bad5608cf8674a410e9909d6a5a7c36623f
Eq. (Wsup): the direction-independent bound on the separation weight, its tightness, and the two radial windows quoted beside it	python3 verify_wsup_window.py	NonStationaryMetrics/paper2/verification/verify_wsup_window.py	06eb01c02012b56034df54f6af874a6b4edeab50c9249c3585de5784f3fbc461
Figure collection: every compiled figure is the current output of its generator (hash-compared, not assumed)	python3 collect_figures.py --check	NonStationaryMetrics/paper2/provenance/collect_figures.py	81f791884d1cf28677a9391c552e8b862b2d015313ce3502ed94d768f0835a4e
