delta_deg,q_coordinate,q_proper,q_proper_minus_q_coordinate
10,0.959419966784,0.95784663084,-0.0015733359438
12.5,0.949618075138,0.947148420432,-0.00246965470569
15,0.9399173287,0.936336161114,-0.00358116758622
17.5,0.930298687303,0.925403276122,-0.00489541118127
20,0.920762211164,0.914340928282,-0.00642128288206
22.5,0.911299092303,0.90314408299,-0.00815500931309
25,0.90190186604,0.891804708249,-0.010097157791
27.5,0.892566560218,0.880318019093,-0.0122485411249
30,0.883286442928,0.868681091652,-0.0146053512758
32.5,0.874056547472,0.856888228526,-0.0171683189462
35,0.864872007185,0.844934475937,-0.0199375312481
37.5,0.855728005464,0.832825163539,-0.0229028419256
40,0.846619782922,0.820551183578,-0.0260685993442
42.5,0.837542536893,0.808111363817,-0.0294311730759
45,0.828491190832,0.795504766132,-0.0329864246995
47.5,0.819460681773,0.782730398953,-0.0367302828195
50,0.810448685017,0.769785127612,-0.0406635574045
52.5,0.80144622318,0.756670070784,-0.0447761523958
55,0.792447877212,0.74340743079,-0.0490404464218
57.5,0.783448487426,0.729954665865,-0.0534938215611
60,0.774442147296,0.716364576829,-0.0580775704663
62.5,0.765423041318,0.702602635959,-0.0628204053598
65,0.756384808523,0.68866860936,-0.067716199163
67.5,0.747320805978,0.674604178647,-0.0727166273304
70,0.738224128688,0.660389044692,-0.077835083996
72.5,0.729087703678,0.646029005636,-0.0830586980422
75,0.719903808565,0.631530713373,-0.0883730951917
77.5,0.710664531306,0.616900346221,-0.0937641850846
80,0.701361291059,0.602177465019,-0.0991838260398
82.5,0.691994851296,0.587323387483,-0.104671463813
85,0.682547191084,0.572353410552,-0.110193780532
87.5,0.673004271766,0.557315584532,-0.115688687233
90,0.663364504667,0.542174935059,-0.121189569609
92.5,0.653618950672,0.526968078225,-0.126650872447
95,0.643740355423,0.511691972199,-0.132048383224
97.5,0.633744423839,0.496370450206,-0.137373973633
100,0.62359576229,0.480988526689,-0.142607235601
102.5,0.61327676081,0.465595825653,-0.147680935158
105,0.602793493056,0.450142075921,-0.152651417135
107.5,0.592116044127,0.434715969653,-0.157400074475
110,0.581226706553,0.419267876777,-0.161958829776
112.5,0.570111389137,0.403806249365,-0.166305139772
115,0.558745822977,0.388380740625,-0.170365082352
117.5,0.547098444048,0.37294224036,-0.174156203688
120,0.53516079144,0.35755393388,-0.17760685756
122.5,0.522892318858,0.342186832527,-0.180705486331
125,0.510263350109,0.326842031063,-0.183421319046
127.5,0.497238545314,0.311553693936,-0.185684851378
130,0.483783536242,0.296286404194,-0.187497132048
132.5,0.469846178681,0.281085751108,-0.188760427573
135,0.455388504587,0.265912551398,-0.189475953189
137.5,0.440348801236,0.25080119676,-0.189547604476
140,0.424662367311,0.235732464483,-0.188929902828
142.5,0.408259258667,0.220699922895,-0.187559335772
145,0.391056756754,0.205744856051,-0.185311900703
147.5,0.372964769718,0.190817844275,-0.182146925443
150,0.353876970969,0.175931471906,-0.177945499063
152.5,0.333671878715,0.161110303338,-0.172561575377
155,0.312211330925,0.146320832039,-0.165890498886
157.5,0.289341280097,0.131565973297,-0.1577753068
160,0.264894163048,0.116846146569,-0.148048016479
162.5,0.238695746877,0.102166565005,-0.136529181873
165,0.21056399276,0.0875208788508,-0.123043113909
167.5,0.180349236948,0.0728946714215,-0.107454565527
170,0.147955014472,0.0582887775251,-0.0896662369466
