delta_deg,t_coordinate_c_over_R,tau_proper_c_over_R,t_over_tau
10,2.71173285732,1.91756749415,1.41415249559
12.5,2.99597435519,2.10830730877,1.4210330452
15,3.25094723427,2.27644500995,1.42808072238
17.5,3.48385613984,2.42724200189,1.4353147058
20,3.69917840431,2.56424872827,1.44259734382
22.5,3.90033412011,2.6898052213,1.45004332999
25,4.08962737109,2.80576231976,1.45758154292
27.5,4.26881535233,2.91341153352,1.46522909765
30,4.43927696815,3.01380508173,1.47298078269
32.5,4.6020662626,3.10781622904,1.48080385822
35,4.75796227716,3.19600747006,1.48872063715
37.5,4.90790860444,3.2790202469,1.49676068914
40,5.0522843768,3.35741622791,1.50481323549
42.5,5.19170991232,3.43135659346,1.51301963842
45,5.32653889493,3.50150725904,1.52121315219
47.5,5.45727442361,3.56782738916,1.52957916075
50,5.58396677182,3.63093308876,1.53788754442
52.5,5.70719808009,3.69069186216,1.54637620621
55,5.82699768294,3.74764042799,1.55484438673
57.5,5.9435903921,3.80174076741,1.56338655256
60,6.05737865207,3.85324423299,1.57202042897
62.5,6.16819793891,3.90240239561,1.5806155577
65,6.27636211395,3.9491008691,1.58931420645
67.5,6.38209028486,3.99363610129,1.59806505224
70,6.48543783031,4.03623336723,1.60680447344
72.5,6.58629707023,4.07670695146,1.61559247418
75,6.68501429035,4.11531631167,1.6244229566
77.5,6.7816372478,4.15225785736,1.63324087298
80,6.87629377724,4.18751681431,1.64209341291
82.5,6.96877620894,4.22097721831,1.65098645373
85,7.05930814489,4.25299765519,1.65984294308
87.5,7.14804276155,4.28357250725,1.66871057965
90,7.2350318799,4.31277817009,1.67758034254
92.5,7.32020287522,4.3405293157,1.6864770038
95,7.40342461841,4.36700188265,1.69531060836
97.5,7.48499545626,4.39222654498,1.7041460361
100,7.56494197988,4.4163199598,1.71295151817
102.5,7.64327177689,4.43932635631,1.72171882926
105,7.71991880976,4.46115762974,1.73047434108
107.5,7.79471874482,4.48185452608,1.73917263478
110,7.86795012842,4.50156193741,1.74782669611
112.5,7.93961528006,4.52034309996,1.75641872851
115,8.00964509592,4.53822406604,1.76492940396
117.5,8.07806399323,4.55523703168,1.77335755243
120,8.14482720048,4.57127934508,1.78173911189
122.5,8.20979489746,4.58637121713,1.7900415184
125,8.27314889656,4.60068378918,1.79824332114
127.5,8.33476165223,4.61423682756,1.80631423217
130,8.39470895129,4.6270461748,1.8142695435
132.5,8.45294398344,4.63913554794,1.82209463295
135,8.50935238846,4.65048189961,1.82977862771
137.5,8.56373777726,4.66112171275,1.83726971854
140,8.61618756349,4.67097618624,1.84462245577
142.5,8.66673153807,4.68012880822,1.85181474554
145,8.71528375078,4.68864997275,1.8588045176
147.5,8.76176167883,4.69655078923,1.86557370974
150,8.80580005386,4.70383563187,1.87204671741
152.5,8.84735098421,4.71049788243,1.87821992601
155,8.88648940901,4.71653415871,1.88411429028
157.5,8.92305166612,4.72198910763,1.88968069657
160,8.95682056068,4.72687055229,1.89487324893
162.5,8.98745985718,4.73117799937,1.89962412287
165,9.01464711722,4.73481441958,1.90390716898
167.5,9.03845188717,4.73786596011,1.9077052756
170,9.05850766531,4.74036738119,1.91092945691
