delta_deg,t_coordinate_c_over_R,tau_proper_c_over_R,t_over_tau
10,2.80032016159,2.20615838933,1.26931963504
12.5,3.10474022872,2.43762610294,1.27367368809
15,3.37621350991,2.64157240264,1.2781075039
17.5,3.62253821804,2.82429043018,1.28263657991
20,3.84885977188,2.9899091464,1.28728318602
22.5,4.05878034249,3.14137415877,1.29203976902
25,4.25469441568,3.28090515841,1.29680506149
27.5,4.43887200634,3.40990920379,1.30175665716
30,4.61266734748,3.52995105356,1.30672274983
32.5,4.77746164871,3.64187552591,1.31181354627
35,4.93410717314,3.74671031464,1.31691717768
37.5,5.08360668054,3.84489091631,1.32217188763
40,5.22655059785,3.93728694381,1.32744975727
42.5,5.36348933588,4.02434653108,1.33276031138
45,5.49511721353,4.10632168188,1.33820914172
47.5,5.62181632638,4.18387516732,1.34368643938
50,5.74368710588,4.25724498798,1.34915587947
52.5,5.86139268483,4.32659296721,1.35473633162
55,5.97520930813,4.39234229937,1.36036968453
57.5,6.08528901116,4.45470131033,1.36603749326
60,6.19180289961,4.51394546656,1.3717052954
62.5,6.2950175678,4.57019778939,1.37740593688
65,6.39519245848,4.6235420736,1.38318033159
67.5,6.49241675272,4.67426160498,1.38897162833
70,6.58690951957,4.72255039953,1.39477802507
72.5,6.67879842892,4.7685400487,1.40059606519
75,6.76806522148,4.81234511478,1.40639647823
77.5,6.85486658773,4.85390088439,1.41223868204
80,6.93933816116,4.89343527633,1.41809133447
82.5,7.02161594662,4.93111622032,1.42394046964
85,7.10177555023,4.96703210401,1.42978249415
87.5,7.1798863741,5.00126611554,1.43561374425
90,7.25601004803,5.03384330063,1.4414453559
92.5,7.3301726756,5.06487986566,1.44725499321
95,7.40227541306,5.09444713557,1.45300858289
97.5,7.47251958085,5.12246894789,1.45877303637
100,7.54097421999,5.1491617806,1.46450520323
102.5,7.60767263752,5.1745796549,1.47020108779
105,7.672644772,5.19875929211,1.47586074694
107.5,7.73591534874,5.22172602621,1.48148625759
110,7.79747660577,5.24356720672,1.48705571958
112.5,7.85733963198,5.26432493229,1.4925635733
115,7.91555129697,5.28403908024,1.49801149779
117.5,7.97212027826,5.30274739257,1.50339431394
120,8.02688802741,5.32048529405,1.50867591653
122.5,8.08001930305,5.33720375075,1.51390497354
125,8.13151023604,5.35297372203,1.51906410498
127.5,8.18135122825,5.36783060429,1.52414482337
130,8.22948821836,5.38183627652,1.52912273721
132.5,8.27591979027,5.39502278312,1.5339916295
135,8.32064580746,5.4074128231,1.53874802603
137.5,8.36363717073,5.41902802655,1.54338326537
140,8.40485756036,5.42988809443,1.54788780435
142.5,8.44426678436,5.44001110174,1.55225175582
145,8.48179476479,5.44941425361,1.5564599001
147.5,8.51724064861,5.45811199885,1.56047377745
150,8.55066187904,5.4661194784,1.56430204514
152.5,8.58200350044,5.47345015476,1.56793306923
155,8.61121173347,5.48008983728,1.57136324206
157.5,8.63819581173,5.48606202287,1.57457130009
160,8.66285404736,5.49134562469,1.57754667789
162.5,8.68507578378,5.4959402056,1.58027115632
165,8.70474143518,5.49990851991,1.58270658569
167.5,8.72171031042,5.50325713373,1.58482696674
170,8.73579224588,5.5059908067,1.58659768107
